GeneID	Length	ORF1_1_mapped_reads(7655775)	ORF1_1_IPTG_mapped_reads(7178582)	ORF1_2_mapped_reads(7706927)	ORF1_2_IPTG_mapped_reads(7070827)	Svi3_3_1_mapped_reads(8018710)	Svi3_3_1_IPTG_mapped_reads(8299205)	Svi3_3_2_mapped_reads(7313736)	Svi3_3_2_IPTG_mapped_reads(8344539)	WT1_IPTG_mapped_reads(8074159)	WT2_IPTG_mapped_reads(8103887)	ORF1_1_coverage	ORF1_1_IPTG_coverage	ORF1_2_coverage	ORF1_2_IPTG_coverage	Svi3_3_1_coverage	Svi3_3_1_IPTG_coverage	Svi3_3_2_coverage	Svi3_3_2_IPTG_coverage	WT1_IPTG_coverage	WT2_IPTG_coverage	ORF1_1_rpkm	ORF1_1_IPTG_rpkm	ORF1_2_rpkm	ORF1_2_IPTG_rpkm	Svi3_3_1_rpkm	Svi3_3_1_IPTG_rpkm	Svi3_3_2_rpkm	Svi3_3_2_IPTG_rpkm	WT1_IPTG_rpkm	WT2_IPTG_rpkm	Symbol	Description	KEGG Orthology	GO Component	GO Function	GO Process
b0284	2199	253	184	136	202	156	346	215	167	299	247	99.86%	98.82%	98.82%	97.14%	95.23%	99.41%	97.91%	96.32%	99.05%	98.59%	15.0281710863248	11.6561178034029	8.02476704007906	12.991399214646	8.84697625570081	18.9589541871993	13.3682312863964	9.10099536141553	16.8402549246002	13.8604824497148	paoC	PaoABC aldehyde oxidoreductase, Moco-containing subunit; 	K11177|1|0.0|1400|ecol:LY180_01800|xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4]	GO:0042597//periplasmic space	GO:0016903//oxidoreductase activity, acting on the aldehyde or oxo group of donors;GO:0004854//xanthine dehydrogenase activity;GO:0005515//protein binding;GO:0030151//molybdenum ion binding	GO:0006166//purine ribonucleoside salvage;GO:0055114//oxidation-reduction process;GO:0006144//purine nucleobase metabolic process;GO:0006974//cellular response to DNA damage stimulus
b2551	1254	21942	27634	26880	33422	16005	29599	16001	34712	16621	16652	98.96%	99.92%	99.28%	99.76%	99.84%	99.36%	99.92%	99.84%	99.2%	99.6%	2285.5436132204	3069.78211234893	2781.31695013649	3769.33456294165	1591.67221345289	2844.08786884563	1744.65801090898	3317.26183239749	1641.58099498812	1638.60957810175	glyA	serine hydroxymethyltransferase; 	K00600|1|0.0|796|sbc:SbBS512_E2916|glycine hydroxymethyltransferase [EC:2.1.2.1]	GO:0005829//cytosol;GO:0016020//membrane	GO:0008270//zinc ion binding;GO:0016829//lyase activity;GO:0042802//identical protein binding;GO:0004372//glycine hydroxymethyltransferase activity;GO:0030170//pyridoxal phosphate binding;GO:0008168//methyltransferase activity	GO:0006565//L-serine catabolic process;GO:0019264//glycine biosynthetic process from serine;GO:0032259//methylation;GO:0035999//tetrahydrofolate interconversion;GO:0006546//glycine catabolic process
b1080	1098	27	26	20	25	37	33	31	20	28	25	74.41%	74.95%	87.07%	96.9%	94.35%	90.53%	94.54%	87.89%	88.16%	80.87%	3.21197578748412	3.29862041306209	2.36344995193585	3.22008589796553	4.20237570111499	3.6213884111482	3.86029126344878	2.18285710543424	3.15833645916713	2.80959869130134	flgI	putative flagellar basal body protein; 	K02394|1|1e-176|622|ell:WFL_05800|flagellar P-ring protein precursor FlgI	GO:0030288//outer membrane-bounded periplasmic space;GO:0009428//bacterial-type flagellum basal body, distal rod, P ring	GO:0005198//structural molecule activity	GO:0001539//cilium or flagellum-dependent cell motility;GO:0006974//cellular response to DNA damage stimulus
b3559	2070	13587	9570	11286	7677	13215	12329	15612	12745	16107	15337	99.95%	99.95%	99.95%	99.95%	99.95%	99.95%	99.95%	99.95%	99.95%	99.95%	857.361680031353	644.025297168313	707.438115482796	524.506631568544	796.145261646137	717.663757834997	1031.21427756037	737.848409710575	963.711442924254	914.274686204454	glyS	glycine tRNA synthetase, beta subunit; 	K01879|1|0.0|1266|ebe:B21_03361|glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	GO:0005829//cytosol	GO:0005524//ATP binding;GO:0004814//arginine-tRNA ligase activity;GO:0004820//glycine-tRNA ligase activity	GO:0006420//arginyl-tRNA aminoacylation;GO:0006426//glycyl-tRNA aminoacylation
b4096	681	65	46	52	75	97	81	69	54	63	65	86.93%	90.16%	57.71%	93.54%	97.8%	87.08%	96.33%	96.18%	95.15%	83.11%	12.4674341628728	9.40961932807749	9.90774878529585	15.5755696738597	17.7631553924258	14.3318222983446	13.8536017574443	9.50264049158642	11.4576655247759	11.7780357473231	phnL	ribophosphonate triphosphate synthase subunit; putative ABC transporter ATP-binding protein; 	K05780|1|1e-123|445|ecol:LY180_21520|alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:2.7.8.37]	-	GO:0016829//lyase activity;GO:0005524//ATP binding;GO:0016887//ATPase activity	GO:0019700;GO:0006200//ATP catabolic process;GO:0015716//organic phosphonate transport
b2029	1407	16109	14644	18552	14489	17874	13128	14416	10975	15999	15980	99.86%	99.79%	99.93%	99.86%	99.93%	99.79%	99.79%	99.86%	99.79%	99.86%	1495.49623103316	1449.86296722737	1710.86362516449	1456.37797822412	1584.24793183386	1124.26315594292	1400.9137451351	934.777139015302	1408.32031326063	1401.48773337657	gnd	6-phosphogluconate dehydrogenase, decarboxylating; 	K00033|1|0.0|925|elp:P12B_c2133|6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	-	GO:0050661//NADP binding;GO:0004616//phosphogluconate dehydrogenase (decarboxylating) activity	GO:0019521//D-gluconate metabolic process;GO:0006098//pentose-phosphate shunt
b3732	1383	21873	14658	25813	14812	20549	15033	19207	22769	21480	19323	99.93%	99.93%	99.93%	99.93%	99.93%	99.93%	99.93%	99.93%	99.93%	99.93%	2065.8415668248	1476.43343512156	2421.78205000121	1514.6814671899	1852.95129807643	1309.74571132804	1898.88243179094	1972.96521439364	1923.60013745778	1724.08628524059	atpD	F1 sector of membrane-bound ATP synthase, beta subunit; 	K02112|1|0.0|860|sbc:SbBS512_E4189|F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]	GO:0045261//proton-transporting ATP synthase complex, catalytic core F(1);GO:0005886//plasma membrane	GO:0046961//proton-transporting ATPase activity, rotational mechanism;GO:0005515//protein binding;GO:0008553//hydrogen-exporting ATPase activity, phosphorylative mechanism;GO:0046933//proton-transporting ATP synthase activity, rotational mechanism;GO:0005524//ATP binding	GO:0015991//ATP hydrolysis coupled proton transport;GO:0042777//plasma membrane ATP synthesis coupled proton transport
b1779	996	52495	43680	62945	36055	24125	25237	32144	28723	44580	42624	99.8%	99.8%	99.9%	99.8%	99.8%	99.8%	99.9%	99.8%	99.9%	99.9%	6884.45301660154	6109.20397464945	8200.128425332	5119.59905068914	3020.67134865843	3053.10610036198	4412.66848700554	3455.95525572529	5543.49203979985	5280.82150243353	gapA	glyceraldehyde-3-phosphate dehydrogenase A; 	K00134|1|2e-178|628|sdz:Asd1617_01982|glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	GO:0016020//membrane;GO:0005829//cytosol	GO:0051287//NAD binding;GO:0050661//NADP binding;GO:0004365//glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	GO:0006096//glycolytic process;GO:0055114//oxidation-reduction process
b1764	1044	1467	1327	1814	1354	2358	1650	1783	1184	2078	2093	99.81%	99.71%	99.9%	99.62%	99.81%	99.43%	99.81%	99.81%	99.52%	99.81%	183.544110660659	177.064606482849	225.452750846129	183.420534245907	281.668833223196	190.435080241414	233.513269569789	135.909199640416	246.517495622603	247.386133596218	selD	selenophosphate synthase; 	K01008|1|0.0|691|efe:EFER_1301|selenide, water dikinase [EC:2.7.9.3]	-	GO:0004756//selenide, water dikinase activity;GO:0005524//ATP binding;GO:0000287//magnesium ion binding	GO:0016260//selenocysteine biosynthetic process;GO:0070329;GO:0016310//phosphorylation
b2495	360	1034	861	1010	818	677	775	768	671	838	857	99.17%	98.89%	99.17%	98.89%	98.89%	98.61%	99.72%	99.17%	98.89%	99.17%	375.170668184765	333.167005220065	364.03037884692	321.351692273368	234.520958552629	259.395662328835	291.688588887175	223.366310456322	288.299719856616	293.75478157032	yfgD	putative oxidoreductase; 	K00537|1|5e-60|232|elp:P12B_c2597|arsenate reductase [EC:1.20.4.1]	-	GO:0008794//arsenate reductase (glutaredoxin) activity	GO:0055114//oxidation-reduction process
b3628	1080	662	493	489	451	929	785	675	612	748	820	99.72%	99.63%	99.54%	99.35%	99.81%	99.81%	99.81%	99.72%	99.63%	99.72%	80.0654359569035	63.5893664628309	58.7494571802455	59.0585220926198	107.272265138057	87.5809010443593	85.4556412755396	67.9086845500592	85.7789142612367	93.6907510259286	waaB	UDP-D-galactose:(glucosyl)lipopolysaccharide-1, 6-D-galactosyltransferase; 	K02840|1|0.0|739|edj:ECDH1ME8569_3513|UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase [EC:2.4.1.-]	-	GO:0016757//transferase activity, transferring glycosyl groups	GO:0009244//lipopolysaccharide core region biosynthetic process
b4306	747	38	22	46	23	52	55	51	52	62	53	95.72%	90.09%	95.72%	92.24%	94.51%	98.13%	95.45%	98.13%	97.72%	97.99%	6.64467637250173	4.10264003181587	7.99016935558073	4.35448724322471	8.68116947179209	8.87167442088514	9.33491342447662	8.34219607040652	10.2795425891309	8.75511572913467	yjhP	putative methyltransferase; 	K00574|1|2e-07|59.3|slv:SLIV_22230|cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]	GO:0016021//integral component of membrane	GO:0008168//methyltransferase activity	GO:0032259//methylation
b2045	1281	71	80	57	70	65	54	29	37	68	80	98.59%	96.25%	88.84%	97.81%	95.63%	98.28%	86.57%	93.36%	90.63%	96.96%	7.23969145750389	8.69965823225166	5.77357059687187	7.72820615511727	6.32790163488358	5.07934997927279	3.09534875502345	3.46138769576001	6.57449630275606	7.70632783899795	wcaK	colanic acid biosynthesis protein; 	K16710|1|0.0|815|edj:ECDH1ME8569_1982|colanic acid/amylovoran biosynthesis protein	-	GO:0016740//transferase activity	GO:0009103//lipopolysaccharide biosynthetic process;GO:0045228//slime layer polysaccharide biosynthetic process
b0394	909	385	269	251	257	593	491	598	307	608	548	99.45%	99.45%	99.56%	98.68%	99.89%	99.89%	99.78%	99.45%	99.78%	99.78%	55.3232499956469	41.223962191878	35.8284972416731	39.9851775226975	81.3553846595839	65.0850310844882	89.9493482645064	40.473628726205	82.8404403094699	74.3914970715415	mak	manno(fructo)kinase; 	K00847|1|3e-166|587|ecl:EcolC_3238|fructokinase [EC:2.7.1.4]	-	GO:0005524//ATP binding;GO:0008865//fructokinase activity;GO:0045127//N-acetylglucosamine kinase activity	GO:0005975//carbohydrate metabolic process;GO:0016310//phosphorylation
b1252	720	724	1508	1573	1265	554	366	469	536	680	657	98.89%	98.47%	99.58%	99.03%	99.03%	97.36%	98.61%	97.36%	99.58%	99.72%	131.34601729486	291.762975535342	283.475141547626	248.47792831651	95.9561381374865	61.2508467176475	89.063768351618	89.2133698990974	116.971246719868	112.600286751284	tonB	membrane spanning protein in TonB-ExbB-ExbD transport complex; 	K03832|1|3e-77|291|ebe:B21_01236|periplasmic protein TonB	GO:0031233//intrinsic component of external side of plasma membrane	GO:0005515//protein binding;GO:0031992	GO:0042914//colicin transport;GO:0015891//siderophore transport;GO:0015889//cobalamin transport
b1801	1446	28	22	39	17	39	43	33	24	24	32	92.6%	74.48%	94.12%	66.46%	89.7%	90.94%	88.59%	72.2%	72.34%	93.02%	2.5293013577791	2.1194136263945	3.49957309273157	1.66268667694121	3.3635029021933	3.58313911823528	3.12037196358817	1.98902664047037	2.05563333264108	2.73079003091463	yeaV	putative transporter; 	K03451|1|0.0|969|ecoh:ECRM13516_2206|betaine/carnitine transporter, BCCT family	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	GO:0005215//transporter activity	GO:0006810//transport
b1389	288	5	1	5	4	3	10	10	8	4	9	87.85%	34.72%	73.96%	80.56%	76.04%	87.5%	74.65%	88.54%	66.67%	68.75%	2.26771438699689	0.4836919355692	2.25266323543886	1.96425239775897	1.29904519139197	4.18380100530379	4.74753562641887	3.32885708578722	1.72016539293924	3.85617420381108	paaB	putative ring 1,2-phenylacetyl-CoA epoxidase subunit; 	K02610|1|2e-50|201|ecoh:ECRM13516_1757|ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB	-	GO:0003857//3-hydroxyacyl-CoA dehydrogenase activity;GO:0008691//3-hydroxybutyryl-CoA dehydrogenase activity;GO:0050662//coenzyme binding;GO:0000166//nucleotide binding;GO:0004300//enoyl-CoA hydratase activity	GO:0010124//phenylacetate catabolic process;GO:0006631//fatty acid metabolic process;GO:0055114//oxidation-reduction process
b4310	1107	475	306	213	336	704	872	446	398	564	655	97.56%	96.93%	96.57%	96.66%	97.29%	99.37%	98.92%	97.92%	99.46%	97.65%	56.0475750932565	38.5065970170212	24.9661018093517	42.9261011802937	79.3086451806997	94.9144579284528	55.0868524067074	43.0856949640102	63.1007012434296	73.0130183485821	nanM	N-acetylneuraminic acid mutarotase; 	K17948|1|0.0|762|ebe:B21_04139|N-acetylneuraminate epimerase [EC:5.1.3.24]	GO:0016021//integral component of membrane;GO:0030288//outer membrane-bounded periplasmic space	GO:0016857//racemase and epimerase activity, acting on carbohydrates and derivatives	GO:0005975//carbohydrate metabolic process
b4041	2424	3758	3548	3696	3376	2524	3049	3654	3444	4348	4178	99.88%	99.92%	99.96%	99.96%	99.92%	99.96%	99.92%	99.92%	99.88%	99.92%	202.504649497053	203.897701473211	197.841821422147	196.969784995078	129.853071804884	151.561298200054	206.108853611103	170.266096090859	222.156805797024	212.687733643864	plsB	glycerol-3-phosphate O-acyltransferase; 	K00631|1|0.0|1608|sdz:Asd1617_05962|glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]	GO:0005887//integral component of plasma membrane	GO:0004366//glycerol-3-phosphate O-acyltransferase activity;GO:0005515//protein binding	GO:0016024//CDP-diacylglycerol biosynthetic process;GO:0006631//fatty acid metabolic process
b0728	1167	7239	5025	9858	6185	5653	4641	5197	5619	5433	5051	99.83%	99.91%	99.83%	99.91%	99.91%	99.83%	99.91%	99.91%	99.83%	99.91%	810.249103834019	599.827737065764	1096.06601583332	749.546596203964	604.092747922984	479.186109177128	608.895242788661	577.013304834089	576.595902098029	534.088388098023	sucC	succinyl-CoA synthetase, beta subunit; 	K01903|1|0.0|702|ssj:SSON53_03635|succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	GO:0005737//cytoplasm	GO:0030145//manganese ion binding;GO:0005515//protein binding;GO:0005524//ATP binding;GO:0000287//magnesium ion binding;GO:0004775//succinate-CoA ligase (ADP-forming) activity	GO:0006099//tricarboxylic acid cycle
b0899	1431	81	82	71	64	140	87	104	78	86	105	94.27%	96.79%	98.04%	87.07%	99.51%	91.89%	98.74%	96.65%	97.41%	87.49%	7.39360464288797	7.98243798071435	6.43779983763156	6.3251397965572	12.2006760113962	7.3255987413621	9.9369802293849	6.53209692305416	7.44323138579998	9.05432936743902	ycaM	putative transporter; 	K03294|1|1e-10|71.6|wen:wHa_08000|basic amino acid/polyamine antiporter, APA family	GO:0005886//plasma membrane;GO:0016021//integral component of membrane	GO:0015171//amino acid transmembrane transporter activity	GO:0003333//amino acid transmembrane transport
b3118	939	17	12	12	11	17	31	20	16	21	16	60.7%	61.55%	75.29%	62.94%	80.09%	72.2%	77.53%	90.52%	53.04%	70.39%	2.36479864509835	1.78023357755821	1.65819044551154	1.65674962622482	2.25776544446399	3.97795264913229	2.91222632674895	2.04198262131356	2.76985098415775	2.10262107811637	tdcA	tdc operon transcriptional activator; 	K07592|1|4e-171|603|sdy:SDY_3310|LysR family transcriptional regulator, tdc operon transcriptional activator	GO:0005737//cytoplasm	GO:0000986;GO:0003700//sequence-specific DNA binding transcription factor activity	GO:0070689;GO:0045893//positive regulation of transcription, DNA-templated
b1190	1071	2532	1940	2494	1964	3832	3215	3313	2234	3737	3672	99.91%	99.81%	99.91%	99.72%	99.81%	99.81%	99.91%	99.44%	99.81%	99.91%	308.805530238716	252.33273411879	302.152180662025	259.347341794865	446.202009941872	361.705418004751	422.953560479347	249.971990912559	432.151803254718	423.077398360988	dadX	alanine racemase, catabolic, PLP-binding; 	K01775|1|0.0|718|elp:P12B_c1944|alanine racemase [EC:5.1.1.1]	-	GO:0008784//alanine racemase activity	GO:0030632//D-alanine biosynthetic process
b2493	1062	431	476	589	478	897	529	560	463	637	774	99.44%	99.62%	99.72%	99.25%	99.91%	99.25%	99.15%	99.25%	99.44%	99.91%	53.0107064838324	62.4372505304243	71.9630451890706	63.6550946527993	105.332749078291	60.0198164557479	72.0981681571408	52.2461298548977	74.2878206984607	89.9338254990517	yfgO	putative UPF0118 family inner membrane permease; 	K03548|1|1e-142|509|sdz:Asd1617_03610|putative permease	GO:0016020//membrane	-	-
b1681	1272	1085	2328	1379	1338	924	968	918	762	1038	1134	99.76%	99.76%	99.84%	99.69%	99.69%	99.69%	99.69%	99.69%	99.84%	99.53%	111.417514410187	254.951281359645	140.668193283178	148.764323105746	90.5900193846171	91.6962876936015	98.6770801143967	71.7902575293356	101.067830822883	110.010101814384	sufD	component of SufBCD Fe-S cluster assembly scaffold; 	K09015|1|0.0|845|edj:ECDH1ME8569_1625|Fe-S cluster assembly protein SufD	-	GO:0005515//protein binding	GO:0016226//iron-sulfur cluster assembly
b4520	219	18	12	12	17	36	21	25	13	15	31	98.17%	95.43%	83.56%	91.78%	98.63%	79.45%	96.8%	94.06%	93.15%	95.43%	10.7359190704949	7.63305629829752	7.10977547185087	10.9782873737762	20.5000008285417	11.5541682557431	15.6083363060346	7.11372199154529	8.4830074172346	17.4672365761671	ymgF	inner membrane division septum protein; 	-	GO:0044459;GO:0016021//integral component of membrane	-	GO:0007049//cell cycle;GO:0051301//cell division
b3800	1236	71	61	68	59	54	54	75	53	41	57	92.96%	96.28%	98.06%	98.54%	93.69%	97.82%	98.46%	98.14%	95.95%	97.98%	7.50327245717029	6.87499993857582	7.13853669948781	6.75092571656968	5.44842255030417	5.2642777697803	8.2966642015087	5.13872113242881	4.10835618119469	5.69066484445908	aslB	putative AslA-specific sulfatase-maturating enzyme; 	K06871|1|0.0|867|edj:ECDH1ME8569_3679|uncharacterized protein	-	GO:0046872//metal ion binding;GO:0016491//oxidoreductase activity;GO:0051539//4 iron, 4 sulfur cluster binding	GO:0051604//protein maturation;GO:0055114//oxidation-reduction process
b1248	330	514	468	529	435	659	483	475	382	589	591	98.18%	99.09%	99.39%	99.39%	99.39%	99.09%	99.39%	99.39%	99.39%	99.39%	203.451088567226	197.557375284119	207.998635906413	186.425409387306	249.03877269158	176.358622739933	196.806931422455	138.722553465896	221.056890859901	220.993838007501	yciU	UPF0263 family protein; 	K09901|1|1e-58|228|sdz:Asd1617_01721|uncharacterized protein	-	GO:0005515//protein binding	-
b1374	591	34	48	34	34	98	74	50	44	60	64	78%	88.16%	80.03%	98.31%	96.62%	96.79%	97.29%	97.63%	94.42%	96.45%	7.51453782655619	11.3139717720958	7.46466274159639	8.13619267295087	20.6792168538335	15.0871687013594	11.5675994958429	8.92201289997792	12.5737977961041	13.3628507096533	pinR	Rac prophage; putative site-specific recombinase; 	K14060|1|2e-104|381|ecoh:ECRM13516_5404|putative DNA-invertase from lambdoid prophage Rac	-	GO:0000150//recombinase activity;GO:0003677//DNA binding;GO:0005515//protein binding	GO:0015074//DNA integration;GO:0006310//DNA recombination
b0087	1083	1380	1174	1251	1199	483	1187	1496	1696	1408	1533	99.72%	99.72%	99.91%	99.91%	99.45%	99.63%	99.91%	99.91%	99.82%	99.54%	166.441441545345	151.008354311333	149.881353974108	156.574313013607	55.6178461998732	132.064402259384	188.870381308524	187.670081467982	161.018916781725	174.670804932739	mraY	phospho-N-acetylmuramoyl-pentapeptide transferase; 	K01000|1|0.0|639|sbc:SbBS512_E0080|phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	GO:0016021//integral component of membrane;GO:0005886//plasma membrane	GO:0008963//phospho-N-acetylmuramoyl-pentapeptide-transferase activity;GO:0051992	GO:0007049//cell cycle;GO:0008360//regulation of cell shape;GO:0071555//cell wall organization;GO:0051301//cell division;GO:0009252//peptidoglycan biosynthetic process
